asset_id,asset_type,character_id,expression,narrative_purpose,final_filename,destination_path,width,height,aspect_ratio,alpha_required,safe_area,generation_method,generation_prompt_file,negative_prompt_file,reference_requirement,source_url,license,sha256,placeholder_status,candidate_status,user_approval_status,integration_status,notes
portrait_bram_neutral,portrait,bram,neutral,Speaker portrait for Bram Holloway (neutral),bram_neutral.png,assets/portraits/,512,640,4:5,yes,head centre at 42% height; nothing within 24px of edges,procedural (tools/build_art.py); target: hand-drawn or generated from neutral reference,assets/prompts/characters/bram_neutral.txt,assets/prompts/UI/STYLE.md,none,,original (repository),6954cff7ae5a902a0810f7057318acc60ae8b414525a2210f771837cfa5d0033,procedural_candidate,candidate,pending,integrated,
portrait_bram_patient,portrait,bram,patient,Speaker portrait for Bram Holloway (patient),bram_patient.png,assets/portraits/,512,640,4:5,yes,head centre at 42% height; nothing within 24px of edges,procedural (tools/build_art.py); target: hand-drawn or generated from neutral reference,assets/prompts/characters/bram_patient.txt,assets/prompts/UI/STYLE.md,neutral,,original (repository),e6b505a07a68ab64ecddae33f3dca9c817fa2c1372a6f1201f00a0ac223ff4b2,procedural_candidate,candidate,pending,integrated,
portrait_bram_stern,portrait,bram,stern,Speaker portrait for Bram Holloway (stern),bram_stern.png,assets/portraits/,512,640,4:5,yes,head centre at 42% height; nothing within 24px of edges,procedural (tools/build_art.py); target: hand-drawn or generated from neutral reference,assets/prompts/characters/bram_stern.txt,assets/prompts/UI/STYLE.md,neutral,,original (repository),b23336578b690f8d6284de27636b952e5bd5cd97faf451b1cb81dffdb0d42288,procedural_candidate,candidate,pending,integrated,
portrait_bram_mourning,portrait,bram,mourning,Speaker portrait for Bram Holloway (mourning),bram_mourning.png,assets/portraits/,512,640,4:5,yes,head centre at 42% height; nothing within 24px of edges,procedural (tools/build_art.py); target: hand-drawn or generated from neutral reference,assets/prompts/characters/bram_mourning.txt,assets/prompts/UI/STYLE.md,neutral,,original (repository),2dbbf5000e2775c929d85c3555f483658ca48af9a3f1b60b6ca1a36ed84395c6,procedural_candidate,candidate,pending,integrated,
portrait_cole_pleasant,portrait,cole,pleasant,Speaker portrait for Marguerite Cole (pleasant),cole_pleasant.png,assets/portraits/,512,640,4:5,yes,head centre at 42% height; nothing within 24px of edges,procedural (tools/build_art.py); target: hand-drawn or generated from neutral reference,assets/prompts/characters/cole_pleasant.txt,assets/prompts/UI/STYLE.md,neutral,,original (repository),7b80f5935e9c55bc561b4deb3c835a709161778c39d52e5186ec57fbd3d7028a,procedural_candidate,candidate,pending,integrated,
portrait_cole_cold,portrait,cole,cold,Speaker portrait for Marguerite Cole (cold),cole_cold.png,assets/portraits/,512,640,4:5,yes,head centre at 42% height; nothing within 24px of edges,procedural (tools/build_art.py); target: hand-drawn or generated from neutral reference,assets/prompts/characters/cole_cold.txt,assets/prompts/UI/STYLE.md,neutral,,original (repository),f56da29a5d4600fe28c934477a2e8448e7ccf05fc72e6d3320d400da84310f27,procedural_candidate,candidate,pending,integrated,
portrait_crane_neutral,portrait,crane,neutral,Speaker portrait for Matthias Crane (neutral),crane_neutral.png,assets/portraits/,512,640,4:5,yes,head centre at 42% height; nothing within 24px of edges,procedural (tools/build_art.py); target: hand-drawn or generated from neutral reference,assets/prompts/characters/crane_neutral.txt,assets/prompts/UI/STYLE.md,none,,original (repository),516c47b3bd3925cf706c04d0c361ad9fee10d0c17138c2e9066560a46c9a608f,procedural_candidate,candidate,pending,integrated,
portrait_crane_disapproving,portrait,crane,disapproving,Speaker portrait for Matthias Crane (disapproving),crane_disapproving.png,assets/portraits/,512,640,4:5,yes,head centre at 42% height; nothing within 24px of edges,procedural (tools/build_art.py); target: hand-drawn or generated from neutral reference,assets/prompts/characters/crane_disapproving.txt,assets/prompts/UI/STYLE.md,neutral,,original (repository),9f6fd574c32d9678af5d5a8b97d9e0b8b8de54562d48de4d28ed94e22dc37368,procedural_candidate,candidate,pending,integrated,
portrait_crane_delighted_by_a_clause,portrait,crane,delighted_by_a_clause,Speaker portrait for Matthias Crane (delighted_by_a_clause),crane_delighted_by_a_clause.png,assets/portraits/,512,640,4:5,yes,head centre at 42% height; nothing within 24px of edges,procedural (tools/build_art.py); target: hand-drawn or generated from neutral reference,assets/prompts/characters/crane_delighted_by_a_clause.txt,assets/prompts/UI/STYLE.md,neutral,,original (repository),1596ba6dde945734c02c1fe578765564d66b18ac9e822ce813a79eabb8159cff,procedural_candidate,candidate,pending,integrated,
portrait_crane_alarmed,portrait,crane,alarmed,Speaker portrait for Matthias Crane (alarmed),crane_alarmed.png,assets/portraits/,512,640,4:5,yes,head centre at 42% height; nothing within 24px of edges,procedural (tools/build_art.py); target: hand-drawn or generated from neutral reference,assets/prompts/characters/crane_alarmed.txt,assets/prompts/UI/STYLE.md,neutral,,original (repository),555d69298f9a31002ac6fdac5ec01348bcae053a016fa4d4a2c69a06acdfd132,procedural_candidate,candidate,pending,integrated,
